movie_name,released_year,rating,director
Inception,2010,8.8,Christopher Nolan
Interstellar,2014,8.6,Christopher Nolan
The Dark Knight,2008,9.0,Christopher Nolan
Titanic,1997,7.9,James Cameron
Avatar,2009,7.8,James Cameron
The Matrix,1999,8.7,Lana Wachowski
John Wick,2014,7.4,Chad Stahelski
Parasite,2019,8.6,Bong Joon-ho
Joker,2019,8.4,Todd Phillips
Avengers Endgame,2019,8.4,Anthony Russo
The Godfather,1972,9.2,Francis Ford Coppola
Fight Club,1999,8.8,David Fincher
Forrest Gump,1994,8.8,Robert Zemeckis
The Shawshank Redemption,1994,9.3,Frank Darabont
Gladiator,2000,8.5,Ridley Scott
The Lion King,1994,8.5,Roger Allers
Pulp Fiction,1994,8.9,Quentin Tarantino
Django Unchained,2012,8.4,Quentin Tarantino
The Social Network,2010,7.7,David Fincher
Whiplash,2014,8.5,Damien Chazelle